5.00E+01	3.40E+02
1.00E+02	6.80E+02
1.50E+02	1.02E+03
2.00E+02	1.36E+03
2.50E+02	1.70E+03
3.00E+02	2.04E+03
3.50E+02	2.38E+03
4.00E+02	2.72E+03
4.50E+02	3.06E+03
5.00E+02	3.40E+03
5.50E+02	3.74E+03
6.00E+02	4.08E+03
6.50E+02	4.42E+03
7.00E+02	4.76E+03
7.50E+02	5.10E+03
8.00E+02	5.44E+03
8.50E+02	5.78E+03
9.00E+02	6.12E+03
9.50E+02	6.46E+03
1.00E+03	6.80E+03
1.05E+03	7.14E+03
1.10E+03	7.48E+03
1.15E+03	7.82E+03
1.20E+03	8.16E+03
1.25E+03	8.50E+03
1.30E+03	8.84E+03
1.35E+03	9.18E+03
1.40E+03	9.52E+03
1.45E+03	9.86E+03
1.50E+03	1.02E+04
1.55E+03	1.05E+04
1.60E+03	1.09E+04
1.65E+03	1.12E+04
1.70E+03	1.16E+04
1.75E+03	1.19E+04
1.80E+03	1.22E+04
1.85E+03	1.26E+04
1.90E+03	1.29E+04
1.95E+03	1.33E+04
2.00E+03	1.36E+04
