time	V(a)	V(out)	V(n001)
8.540586200338961e-005	4.002201e+000	1.967947e+000	1.200000e+001
8.735898700338961e-005	4.427549e+000	2.173761e+000	1.200000e+001
8.931211200338961e-005	4.903681e+000	2.404049e+000	1.200000e+001
9.028867450338961e-005	5.158586e+000	2.526070e+000	1.200000e+001
9.126523700338961e-005	5.423169e+000	2.644952e+000	1.200000e+001
9.211325503775707e-005	5.660127e+000	2.730115e+000	1.200000e+001
9.287696622737662e-005	5.879066e+000	2.779217e+000	1.200000e+001
9.367395634924354e-005	6.112637e+000	2.807037e+000	1.200000e+001
9.465051884924354e-005	6.404342e+000	2.828022e+000	1.200000e+001
9.554830700922365e-005	6.677021e+000	2.842046e+000	1.200000e+001
9.652486950922366e-005	6.977768e+000	2.853706e+000	1.200000e+001
9.847799450922366e-005	7.587324e+000	2.871039e+000	1.200000e+001
1.004311195092237e-004	8.200233e+000	2.883775e+000	1.200000e+001
1.014076820092237e-004	8.505070e+000	2.889017e+000	1.200000e+001
1.033608070092237e-004	9.105782e+000	2.897887e+000	1.200000e+001
1.053139320092237e-004	9.687051e+000	2.905108e+000	1.200000e+001
1.072670570092237e-004	1.024015e+001	2.911070e+000	1.200000e+001
1.082436195092237e-004	1.050353e+001	2.913660e+000	1.200000e+001
1.092201820092237e-004	1.075679e+001	2.916020e+000	1.200000e+001
1.101967445092237e-004	1.099898e+001	2.918170e+000	1.200000e+001
1.111733070092237e-004	1.122920e+001	2.920125e+000	1.200000e+001
1.121498695092237e-004	1.144658e+001	2.921897e+000	1.200000e+001
1.131264320092237e-004	1.165030e+001	2.923499e+000	1.200000e+001
1.141029945092237e-004	1.183960e+001	2.924940e+000	1.200000e+001
1.150795570092237e-004	1.201377e+001	2.926227e+000	1.200000e+001
1.160561195092237e-004	1.217215e+001	2.927367e+000	1.200000e+001
1.170326820092237e-004	1.231416e+001	2.928366e+000	1.200000e+001
1.180092445092237e-004	1.243925e+001	2.929229e+000	1.200000e+001
1.189858070092237e-004	1.254697e+001	2.929960e+000	1.200000e+001
1.199623695092237e-004	1.263690e+001	2.930562e+000	1.200000e+001
1.209389320092237e-004	1.270872e+001	2.931037e+000	1.200000e+001
1.219154945092237e-004	1.276214e+001	2.931389e+000	1.200000e+001
1.228920570092237e-004	1.279698e+001	2.931618e+000	1.200000e+001
1.238686195092237e-004	1.281310e+001	2.931725e+000	1.200000e+001
1.248451820092237e-004	1.281045e+001	2.931711e+000	1.200000e+001
1.258217445092237e-004	1.278903e+001	2.931576e+000	1.200000e+001
1.267983070092237e-004	1.274894e+001	2.931319e+000	1.200000e+001
1.277748695092237e-004	1.269031e+001	2.930940e+000	1.200000e+001
1.287514320092237e-004	1.261338e+001	2.930436e+000	1.200000e+001
1.297279945092237e-004	1.251844e+001	2.929805e+000	1.200000e+001
1.307045570092237e-004	1.240585e+001	2.929045e+000	1.200000e+001
1.316811195092237e-004	1.227603e+001	2.928153e+000	1.200000e+001
1.326576820092237e-004	1.212947e+001	2.927123e+000	1.200000e+001
1.336342445092237e-004	1.196673e+001	2.925952e+000	1.200000e+001
1.346108070092237e-004	1.178841e+001	2.924633e+000	1.200000e+001
1.355873695092237e-004	1.159520e+001	2.923159e+000	1.200000e+001
1.365639320092237e-004	1.138783e+001	2.921523e+000	1.200000e+001
1.375404945092237e-004	1.116707e+001	2.919714e+000	1.200000e+001
1.385170570092237e-004	1.093375e+001	2.917722e+000	1.200000e+001
1.394936195092237e-004	1.068877e+001	2.915533e+000	1.200000e+001
1.404701820092237e-004	1.043304e+001	2.913132e+000	1.200000e+001
1.424233070092237e-004	9.893227e+000	2.907610e+000	1.200000e+001
1.443764320092237e-004	9.322453e+000	2.900952e+000	1.200000e+001
1.463295570092237e-004	8.729315e+000	2.892843e+000	1.200000e+001
1.473061195092237e-004	8.427145e+000	2.888098e+000	1.200000e+001
1.482826820092237e-004	8.122753e+000	2.882776e+000	1.200000e+001
1.502358070092237e-004	7.511904e+000	2.869845e+000	1.200000e+001
1.521889320092237e-004	6.905970e+000	2.852217e+000	1.200000e+001
1.531654945092237e-004	6.607705e+000	2.840438e+000	1.200000e+001
1.541420570092237e-004	6.314078e+000	2.825231e+000	1.200000e+001
1.551186195092237e-004	6.026198e+000	2.804123e+000	1.200000e+001
1.560951820092237e-004	5.745148e+000	2.771840e+000	1.200000e+001
1.570717445092237e-004	5.471988e+000	2.718590e+000	1.200000e+001
1.580483070092237e-004	5.207748e+000	2.635307e+000	1.200000e+001
1.590248695092237e-004	4.952375e+000	2.525743e+000	1.200000e+001
1.596312324829478e-004	4.799164e+000	2.450007e+000	1.200000e+001
1.610493445633764e-004	4.461357e+000	2.275210e+000	1.200000e+001
1.630024695633764e-004	4.039371e+000	2.056379e+000	1.200000e+001
1.649555945633765e-004	3.674095e+000	1.866775e+000	1.200000e+001
1.669087195633765e-004	3.371563e+000	1.709056e+000	1.200000e+001
1.678852820633765e-004	3.245292e+000	1.642818e+000	1.200000e+001
1.688618445633765e-004	3.136341e+000	1.585298e+000	1.200000e+001
1.698384070633765e-004	3.045121e+000	1.536689e+000	1.200000e+001
1.708149695633765e-004	2.971979e+000	1.497154e+000	1.200000e+001
1.717915320633765e-004	2.917192e+000	1.466823e+000	1.200000e+001
1.727680945633765e-004	2.880966e+000	1.445792e+000	1.200000e+001
1.737446570633765e-004	2.863441e+000	1.434124e+000	1.200000e+001
1.747212195633765e-004	2.864683e+000	1.431849e+000	1.200000e+001
1.756977820633765e-004	2.884691e+000	1.438963e+000	1.200000e+001
1.766743445633765e-004	2.923391e+000	1.455422e+000	1.200000e+001
1.776509070633765e-004	2.980638e+000	1.481146e+000	1.200000e+001
1.786274695633765e-004	3.056219e+000	1.516024e+000	1.200000e+001
1.796040320633765e-004	3.149851e+000	1.559909e+000	1.200000e+001
1.805805945633765e-004	3.261184e+000	1.612618e+000	1.200000e+001
1.825337195633765e-004	3.535217e+000	1.743607e+000	1.200000e+001
1.844868445633765e-004	3.874210e+000	1.906835e+000	1.200000e+001
1.864399695633765e-004	4.273077e+000	2.099602e+000	1.200000e+001
1.883930945633765e-004	4.725834e+000	2.318623e+000	1.200000e+001
1.893696570633765e-004	4.970325e+000	2.436647e+000	1.200000e+001
1.903462195633765e-004	5.225683e+000	2.557808e+000	1.200000e+001
1.913227820633765e-004	5.490477e+000	2.672918e+000	1.200000e+001
1.920874687221185e-004	5.704300e+000	2.742396e+000	1.200000e+001
1.929513745999114e-004	5.952233e+000	2.789092e+000	1.200000e+001
1.938107979496127e-004	6.204373e+000	2.814652e+000	1.200000e+001
1.947515316738208e-004	6.485896e+000	2.832583e+000	1.200000e+001
1.957280941738208e-004	6.783051e+000	2.846440e+000	1.200000e+001
1.976812191738208e-004	7.388287e+000	2.866045e+000	1.200000e+001
1.996343441738208e-004	8.000625e+000	2.879994e+000	1.200000e+001
2.006109066738208e-004	8.306584e+000	2.885671e+000	1.200000e+001
2.025640316738208e-004	8.912336e+000	2.895210e+000	1.200000e+001
2.045171566738208e-004	9.502302e+000	2.902932e+000	1.200000e+001
2.064702816738208e-004	1.006762e+001	2.909290e+000	1.200000e+001
2.074468441738208e-004	1.033836e+001	2.912052e+000	1.200000e+001
2.084234066738208e-004	1.059979e+001	2.914570e+000	1.200000e+001
2.093999691738208e-004	1.085093e+001	2.916867e+000	1.200000e+001
2.103765316738208e-004	1.109084e+001	2.918959e+000	1.200000e+001
2.113530941738208e-004	1.131860e+001	2.920861e+000	1.200000e+001
2.123296566738208e-004	1.153337e+001	2.922585e+000	1.200000e+001
2.133062191738208e-004	1.173435e+001	2.924143e+000	1.200000e+001
2.142827816738208e-004	1.192076e+001	2.925543e+000	1.200000e+001
2.152593441738208e-004	1.209192e+001	2.926792e+000	1.200000e+001
2.162359066738208e-004	1.224719e+001	2.927896e+000	1.200000e+001
2.172124691738208e-004	1.238597e+001	2.928862e+000	1.200000e+001
2.181890316738208e-004	1.250775e+001	2.929693e+000	1.200000e+001
2.191655941738208e-004	1.261207e+001	2.930394e+000	1.200000e+001
2.201421566738208e-004	1.269855e+001	2.930968e+000	1.200000e+001
2.211187191738208e-004	1.276685e+001	2.931417e+000	1.200000e+001
2.220952816738208e-004	1.281672e+001	2.931742e+000	1.200000e+001
2.230718441738208e-004	1.284797e+001	2.931947e+000	1.200000e+001
2.240484066738208e-004	1.286049e+001	2.932030e+000	1.200000e+001
2.250249691738208e-004	1.285424e+001	2.931993e+000	1.200000e+001
2.260015316738208e-004	1.282923e+001	2.931836e+000	1.200000e+001
2.269780941738208e-004	1.278557e+001	2.931557e+000	1.200000e+001
2.279546566738208e-004	1.272341e+001	2.931157e+000	1.200000e+001
2.289312191738208e-004	1.264300e+001	2.930632e+000	1.200000e+001
2.299077816738208e-004	1.254464e+001	2.929981e+000	1.200000e+001
2.308843441738208e-004	1.242869e+001	2.929201e+000	1.200000e+001
2.318609066738208e-004	1.229561e+001	2.928289e+000	1.200000e+001
2.328374691738208e-004	1.214589e+001	2.927240e+000	1.200000e+001
2.338140316738208e-004	1.198009e+001	2.926049e+000	1.200000e+001
2.347905941738208e-004	1.179884e+001	2.924711e+000	1.200000e+001
2.357671566738208e-004	1.160283e+001	2.923218e+000	1.200000e+001
2.367437191738208e-004	1.139279e+001	2.921563e+000	1.200000e+001
2.377202816738208e-004	1.116951e+001	2.919735e+000	1.200000e+001
2.386968441738209e-004	1.093385e+001	2.917723e+000	1.200000e+001
2.396734066738209e-004	1.068668e+001	2.915514e+000	1.200000e+001
2.406499691738209e-004	1.042893e+001	2.913092e+000	1.200000e+001
2.426030941738209e-004	9.885646e+000	2.907527e+000	1.200000e+001
2.445562191738209e-004	9.312175e+000	2.900823e+000	1.200000e+001
2.465093441738209e-004	8.717154e+000	2.892662e+000	1.200000e+001
2.484624691738209e-004	8.109545e+000	2.882531e+000	1.200000e+001
2.504155941738209e-004	7.498496e+000	2.869518e+000	1.200000e+001
2.523687191738209e-004	6.893209e+000	2.851768e+000	1.200000e+001
2.533452816738209e-004	6.595582e+000	2.839896e+000	1.200000e+001
2.543218441738209e-004	6.302799e+000	2.824550e+000	1.200000e+001
2.552984066738209e-004	6.015964e+000	2.803213e+000	1.200000e+001
2.562749691738209e-004	5.736156e+000	2.770524e+000	1.200000e+001
2.572515316738209e-004	5.464432e+000	2.716688e+000	1.200000e+001
2.582280941738209e-004	5.201814e+000	2.632952e+000	1.200000e+001
2.592046566738209e-004	4.948225e+000	2.523462e+000	1.200000e+001
2.598108156660279e-004	4.796258e+000	2.448158e+000	1.200000e+001
2.612484701055191e-004	4.457161e+000	2.272600e+000	1.200000e+001
2.632015951055191e-004	4.040415e+000	2.056400e+000	1.200000e+001
2.651547201055191e-004	3.681044e+000	1.869748e+000	1.200000e+001
2.671078451055191e-004	3.384929e+000	1.715230e+000	1.200000e+001
2.680844076055191e-004	3.262027e+000	1.650670e+000	1.200000e+001
2.690609701055191e-004	3.156534e+000	1.594873e+000	1.200000e+001
2.700375326055191e-004	3.068850e+000	1.548025e+000	1.200000e+001
2.710140951055191e-004	2.999305e+000	1.510281e+000	1.200000e+001
2.719906576055191e-004	2.948163e+000	1.481765e+000	1.200000e+001
2.729672201055191e-004	2.915617e+000	1.462566e+000	1.200000e+001
2.739437826055191e-004	2.901792e+000	1.452738e+000	1.200000e+001
2.749203451055191e-004	2.906740e+000	1.452305e+000	1.200000e+001
2.758969076055191e-004	2.930445e+000	1.461257e+000	1.200000e+001
2.768734701055192e-004	2.972818e+000	1.479540e+000	1.200000e+001
2.778500326055192e-004	3.033701e+000	1.507068e+000	1.200000e+001
2.788265951055192e-004	3.112866e+000	1.543723e+000	1.200000e+001
2.798031576055192e-004	3.210017e+000	1.589350e+000	1.200000e+001
2.807797201055192e-004	3.324789e+000	1.643760e+000	1.200000e+001
2.827328451055192e-004	3.605409e+000	1.777991e+000	1.200000e+001
2.846859701055192e-004	3.950515e+000	1.944206e+000	1.200000e+001
2.866390951055192e-004	4.354927e+000	2.139638e+000	1.200000e+001
2.885922201055192e-004	4.812572e+000	2.360916e+000	1.200000e+001
2.895687826055192e-004	5.059237e+000	2.479671e+000	1.200000e+001
2.905453451055192e-004	5.316577e+000	2.599156e+000	1.200000e+001
2.915219076055192e-004	5.583096e+000	2.706343e+000	1.200000e+001
2.922550950727300e-004	5.789144e+000	2.763072e+000	1.200000e+001
2.930690089835933e-004	6.023541e+000	2.798373e+000	1.200000e+001
2.938794573756924e-004	6.261736e+000	2.819153e+000	1.200000e+001
2.947459434538714e-004	6.521182e+000	2.834675e+000	1.200000e+001
2.957225059538714e-004	6.818300e+000	2.847905e+000	1.200000e+001
2.976756309538714e-004	7.423272e+000	2.866958e+000	1.200000e+001
2.996287559538714e-004	8.035374e+000	2.880674e+000	1.200000e+001
3.015818809538714e-004	8.645411e+000	2.891245e+000	1.200000e+001
3.035350059538714e-004	9.244215e+000	2.899710e+000	1.200000e+001
3.054881309538714e-004	9.822788e+000	2.906642e+000	1.200000e+001
3.074412559538714e-004	1.037244e+001	2.912387e+000	1.200000e+001
3.084178184538714e-004	1.063382e+001	2.914887e+000	1.200000e+001
3.093943809538714e-004	1.088491e+001	2.917168e+000	1.200000e+001
3.103709434538714e-004	1.112477e+001	2.919246e+000	1.200000e+001
3.113475059538714e-004	1.135250e+001	2.921137e+000	1.200000e+001
3.123240684538714e-004	1.156723e+001	2.922851e+000	1.200000e+001
3.133006309538714e-004	1.176818e+001	2.924400e+000	1.200000e+001
3.142771934538714e-004	1.195457e+001	2.925791e+000	1.200000e+001
3.152537559538714e-004	1.212572e+001	2.927033e+000	1.200000e+001
3.162303184538714e-004	1.228096e+001	2.928132e+000	1.200000e+001
3.172068809538714e-004	1.241973e+001	2.929093e+000	1.200000e+001
3.181834434538714e-004	1.254151e+001	2.929920e+000	1.200000e+001
3.191600059538714e-004	1.264582e+001	2.930617e+000	1.200000e+001
3.201365684538714e-004	1.273229e+001	2.931188e+000	1.200000e+001
3.211131309538714e-004	1.280059e+001	2.931635e+000	1.200000e+001
3.220896934538714e-004	1.285046e+001	2.931959e+000	1.200000e+001
3.230662559538714e-004	1.288171e+001	2.932162e+000	1.200000e+001
3.240428184538714e-004	1.289424e+001	2.932245e+000	1.200000e+001
3.250193809538714e-004	1.288798e+001	2.932209e+000	1.200000e+001
3.259959434538714e-004	1.286298e+001	2.932052e+000	1.200000e+001
3.269725059538714e-004	1.281932e+001	2.931775e+000	1.200000e+001
3.279490684538714e-004	1.275716e+001	2.931376e+000	1.200000e+001
3.289256309538714e-004	1.267675e+001	2.930854e+000	1.200000e+001
3.299021934538714e-004	1.257839e+001	2.930206e+000	1.200000e+001
3.308787559538714e-004	1.246244e+001	2.929430e+000	1.200000e+001
3.318553184538714e-004	1.232935e+001	2.928523e+000	1.200000e+001
3.328318809538714e-004	1.217962e+001	2.927479e+000	1.200000e+001
3.338084434538714e-004	1.201381e+001	2.926294e+000	1.200000e+001
3.347850059538714e-004	1.183254e+001	2.924963e+000	1.200000e+001
3.357615684538714e-004	1.163651e+001	2.923479e+000	1.200000e+001
3.367381309538714e-004	1.142645e+001	2.921833e+000	1.200000e+001
3.377146934538714e-004	1.120315e+001	2.920015e+000	1.200000e+001
3.386912559538714e-004	1.096745e+001	2.918016e+000	1.200000e+001
3.396678184538714e-004	1.072024e+001	2.915821e+000	1.200000e+001
3.406443809538714e-004	1.046245e+001	2.913414e+000	1.200000e+001
3.425975059538714e-004	9.919065e+000	2.907890e+000	1.200000e+001
3.445506309538714e-004	9.345470e+000	2.901239e+000	1.200000e+001
3.465037559538714e-004	8.750302e+000	2.893156e+000	1.200000e+001
3.484568809538714e-004	8.142520e+000	2.883140e+000	1.200000e+001
3.504100059538714e-004	7.531273e+000	2.870314e+000	1.200000e+001
3.523631309538714e-004	6.925764e+000	2.852908e+000	1.200000e+001
3.533396934538714e-004	6.628016e+000	2.841338e+000	1.200000e+001
3.543162559538714e-004	6.335107e+000	2.826539e+000	1.200000e+001
3.552928184538714e-004	6.048139e+000	2.806190e+000	1.200000e+001
3.562693809538714e-004	5.768193e+000	2.775271e+000	1.200000e+001
3.572459434538714e-004	5.496325e+000	2.724574e+000	1.200000e+001
3.582225059538714e-004	5.233557e+000	2.644824e+000	1.200000e+001
3.591990684538714e-004	4.979825e+000	2.538430e+000	1.200000e+001
3.598089403054774e-004	4.826861e+000	2.463503e+000	1.200000e+001
3.611582612932576e-004	4.507397e+000	2.298351e+000	1.200000e+001
3.631113862932576e-004	4.088256e+000	2.080841e+000	1.200000e+001
3.650645112932576e-004	3.725902e+000	1.892617e+000	1.200000e+001
3.670176362932576e-004	3.426575e+000	1.736440e+000	1.200000e+001
3.679941987932576e-004	3.301995e+000	1.671022e+000	1.200000e+001
3.689707612932576e-004	3.194786e+000	1.614349e+000	1.200000e+001
3.699473237932576e-004	3.105350e+000	1.566611e+000	1.200000e+001
3.709238862932576e-004	3.034027e+000	1.527965e+000	1.200000e+001
3.719004487932576e-004	2.981086e+000	1.498537e+000	1.200000e+001
3.728770112932576e-004	2.946726e+000	1.478420e+000	1.200000e+001
3.738535737932577e-004	2.931078e+000	1.467671e+000	1.200000e+001
3.748301362932577e-004	2.934202e+000	1.466318e+000	1.200000e+001
3.758066987932577e-004	2.956088e+000	1.474351e+000	1.200000e+001
3.767832612932577e-004	2.996652e+000	1.491723e+000	1.200000e+001
3.777598237932577e-004	3.055745e+000	1.518348e+000	1.200000e+001
3.787363862932577e-004	3.133145e+000	1.554113e+000	1.200000e+001
3.797129487932577e-004	3.228560e+000	1.598866e+000	1.200000e+001
3.806895112932577e-004	3.341633e+000	1.652419e+000	1.200000e+001
3.826426362932577e-004	3.618990e+000	1.785006e+000	1.200000e+001
3.845957612932577e-004	3.961051e+000	1.949685e+000	1.200000e+001
3.865488862932577e-004	4.362679e+000	2.143712e+000	1.200000e+001
3.885020112932577e-004	4.817839e+000	2.363732e+000	1.200000e+001
3.894785737932577e-004	5.063385e+000	2.481907e+000	1.200000e+001
3.904551362932577e-004	5.319693e+000	2.600772e+000	1.200000e+001
3.914316987932577e-004	5.585272e+000	2.707203e+000	1.200000e+001
3.921676865141843e-004	5.791469e+000	2.763613e+000	1.200000e+001
3.929826695866598e-004	6.025548e+000	2.798606e+000	1.200000e+001
3.937979499334824e-004	6.264617e+000	2.819352e+000	1.200000e+001
3.946674073749305e-004	6.524457e+000	2.834846e+000	1.200000e+001
3.956439698749305e-004	6.821114e+000	2.848016e+000	1.200000e+001
3.975970948749305e-004	7.425440e+000	2.867015e+000	1.200000e+001
3.995502198749305e-004	8.037268e+000	2.880711e+000	1.200000e+001
4.015033448749305e-004	8.647399e+000	2.891275e+000	1.200000e+001
4.034564698749305e-004	9.246665e+000	2.899742e+000	1.200000e+001
4.054095948749305e-004	9.826059e+000	2.906678e+000	1.200000e+001
4.073627198749305e-004	1.037687e+001	2.912430e+000	1.200000e+001
4.083392823749305e-004	1.063896e+001	2.914935e+000	1.200000e+001
4.093158448749305e-004	1.089083e+001	2.917220e+000	1.200000e+001
4.102924073749305e-004	1.113155e+001	2.919303e+000	1.200000e+001
4.112689698749305e-004	1.136020e+001	2.921199e+000	1.200000e+001
4.122455323749305e-004	1.157594e+001	2.922919e+000	1.200000e+001
4.132220948749305e-004	1.177794e+001	2.924473e+000	1.200000e+001
4.141986573749305e-004	1.196545e+001	2.925870e+000	1.200000e+001
4.151752198749305e-004	1.213777e+001	2.927119e+000	1.200000e+001
4.161517823749305e-004	1.229424e+001	2.928224e+000	1.200000e+001
4.171283448749305e-004	1.243427e+001	2.929191e+000	1.200000e+001
4.181049073749305e-004	1.255735e+001	2.930026e+000	1.200000e+001
4.190814698749305e-004	1.266301e+001	2.930730e+000	1.200000e+001
4.200580323749305e-004	1.275085e+001	2.931309e+000	1.200000e+001
4.210345948749306e-004	1.282054e+001	2.931763e+000	1.200000e+001
4.220111573749306e-004	1.287182e+001	2.932096e+000	1.200000e+001
4.229877198749306e-004	1.290450e+001	2.932307e+000	1.200000e+001
4.239642823749306e-004	1.291846e+001	2.932399e+000	1.200000e+001
4.249408448749306e-004	1.291364e+001	2.932372e+000	1.200000e+001
4.259174073749306e-004	1.289006e+001	2.932225e+000	1.200000e+001
4.268939698749306e-004	1.284782e+001	2.931958e+000	1.200000e+001
4.278705323749306e-004	1.278707e+001	2.931570e+000	1.200000e+001
4.288470948749306e-004	1.270804e+001	2.931059e+000	1.200000e+001
4.298236573749306e-004	1.261103e+001	2.930423e+000	1.200000e+001
4.308002198749306e-004	1.249641e+001	2.929660e+000	1.200000e+001
4.317767823749306e-004	1.236461e+001	2.928765e+000	1.200000e+001
4.327533448749306e-004	1.221612e+001	2.927736e+000	1.200000e+001
4.337299073749306e-004	1.205150e+001	2.926567e+000	1.200000e+001
4.347064698749306e-004	1.187138e+001	2.925252e+000	1.200000e+001
4.356830323749306e-004	1.167644e+001	2.923785e+000	1.200000e+001
4.366595948749306e-004	1.146740e+001	2.922158e+000	1.200000e+001
4.376361573749306e-004	1.124506e+001	2.920362e+000	1.200000e+001
4.386127198749306e-004	1.101025e+001	2.918386e+000	1.200000e+001
4.395892823749306e-004	1.076386e+001	2.916216e+000	1.200000e+001
4.405658448749306e-004	1.050682e+001	2.913838e+000	1.200000e+001
4.425189698749306e-004	9.964678e+000	2.908380e+000	1.200000e+001
4.444720948749306e-004	9.391989e+000	2.901816e+000	1.200000e+001
4.464252198749306e-004	8.797375e+000	2.893849e+000	1.200000e+001
4.483783448749306e-004	8.189781e+000	2.884001e+000	1.200000e+001
4.503314698749306e-004	7.578355e+000	2.871436e+000	1.200000e+001
4.522845948749306e-004	6.972298e+000	2.854493e+000	1.200000e+001
4.532611573749306e-004	6.674139e+000	2.843318e+000	1.200000e+001
4.542377198749306e-004	6.380730e+000	2.829146e+000	1.200000e+001
4.552142823749306e-004	6.093174e+000	2.809924e+000	1.200000e+001
4.561908448749306e-004	5.812556e+000	2.781249e+000	1.200000e+001
4.571674073749306e-004	5.539930e+000	2.734623e+000	1.200000e+001
4.581439698749306e-004	5.276325e+000	2.660110e+000	1.200000e+001
4.591205323749306e-004	5.021740e+000	2.557929e+000	1.200000e+001
4.597503657107126e-004	4.863281e+000	2.481728e+000	1.200000e+001
