#time	V(vd)	V(vin)
#vin e vd con forma d onda seno a 100Hz
6.546491519215394e-003	-1.157291e+000	-8.252336e+000
6.701346429929682e-003	-1.227572e+000	-8.753488e+000
6.856201340643969e-003	-1.287383e+000	-9.179976e+000
7.011056251358255e-003	-1.336722e+000	-9.531802e+000
7.241245983501111e-003	-1.382500e+000	-9.858225e+000
7.471435715643967e-003	-1.400215e+000	-9.984550e+000
7.701625447786823e-003	-1.389870e+000	-9.910779e+000
7.931815179929679e-003	-1.351463e+000	-9.636910e+000
8.162004912072534e-003	-1.284994e+000	-9.162945e+000
8.392194644215390e-003	-1.190464e+000	-8.488882e+000
8.622384376358245e-003	-1.067873e+000	-7.614723e+000
8.743757144215386e-003	-9.942659e-001	-7.089853e+000
8.865129912072526e-003	-9.160936e-001	-6.532431e+000
8.986502679929667e-003	-8.333563e-001	-5.942457e+000
9.107875447786807e-003	-7.460538e-001	-5.319931e+000
9.229248215643946e-003	-6.541863e-001	-4.664852e+000
9.350620983501087e-003	-5.577537e-001	-3.977222e+000
9.471993751358227e-003	-4.567560e-001	-3.257039e+000
9.538958037072512e-003	-4.003245e-001	-2.854646e+000
9.605922322786795e-003	-3.434388e-001	-2.449013e+000
9.672886608501080e-003	-2.860988e-001	-2.040138e+000
9.739850894215365e-003	-2.283046e-001	-1.628023e+000
9.806815179929649e-003	-1.700561e-001	-1.212667e+000
9.873779465643932e-003	-1.113534e-001	-7.940699e-001
9.940743751358217e-003	-5.219644e-002	-3.722320e-001
9.999337501358216e-003	-5.842518e-004	-4.162602e-003
1.005793125135822e-002	5.101782e-002	3.639124e-001
1.008722812635821e-002	7.678758e-002	5.477961e-001
1.011652500135821e-002	1.025183e-001	7.314942e-001
1.014582187635821e-002	1.281921e-001	9.149445e-001
1.017511875135821e-002	1.537843e-001	1.098085e+000
1.020441562635821e-002	1.792598e-001	1.280853e+000
1.023371250135821e-002	2.045654e-001	1.463187e+000
1.026300937635821e-002	2.296203e-001	1.645025e+000
1.029230625135821e-002	2.543013e-001	1.826306e+000
1.032160312635821e-002	2.784276e-001	2.006968e+000
1.035090000135821e-002	3.017495e-001	2.186951e+000
1.038019687635821e-002	3.239557e-001	2.366192e+000
1.040949375135821e-002	3.447104e-001	2.544631e+000
1.043879062635821e-002	3.637206e-001	2.722208e+000
1.046808750135821e-002	3.808049e-001	2.898863e+000
1.049738437635821e-002	3.959302e-001	3.074536e+000
1.052668125135821e-002	4.091977e-001	3.249166e+000
1.055597812635820e-002	4.207956e-001	3.422696e+000
1.058527500135820e-002	4.309466e-001	3.595066e+000
1.061457187635820e-002	4.398696e-001	3.766218e+000
1.064386875135820e-002	4.477599e-001	3.936094e+000
1.070246250135820e-002	4.610782e-001	4.271788e+000
1.079035312635820e-002	4.766070e-001	4.764333e+000
1.084894687635820e-002	4.844645e-001	5.085740e+000
1.090754062635820e-002	4.915937e-001	5.399224e+000
1.096613437635820e-002	4.979946e-001	5.704785e+000
1.102472812635819e-002	5.036672e-001	6.002424e+000
1.108332187635819e-002	5.086116e-001	6.292140e+000
1.114191562635819e-002	5.128276e-001	6.573933e+000
1.120050937635819e-002	5.163154e-001	6.847804e+000
1.132188214421533e-002	5.226716e-001	7.389196e+000
1.144325491207247e-002	5.282381e-001	7.881331e+000
1.156462767992961e-002	5.330148e-001	8.324209e+000
1.168600044778675e-002	5.370019e-001	8.717829e+000
1.180737321564389e-002	5.401992e-001	9.062192e+000
1.192874598350103e-002	5.426068e-001	9.357297e+000
1.205011875135817e-002	5.442247e-001	9.603145e+000
1.224682634064388e-002	5.464250e-001	9.869364e+000
1.244353392992959e-002	5.473760e-001	9.987214e+000
1.264024151921530e-002	5.470775e-001	9.956694e+000
1.283694910850101e-002	5.455297e-001	9.777805e+000
1.303365669778672e-002	5.427325e-001	9.450546e+000
1.323036428707243e-002	5.386860e-001	8.974918e+000
1.342707187635814e-002	5.333900e-001	8.350920e+000
1.351077723350100e-002	5.306818e-001	8.047728e+000
1.359448259064385e-002	5.272911e-001	7.724677e+000
1.367818794778671e-002	5.232179e-001	7.381767e+000
1.376189330492957e-002	5.184624e-001	7.018997e+000
1.384559866207242e-002	5.130244e-001	6.636367e+000
1.392930401921528e-002	5.069040e-001	6.233877e+000
1.401300937635813e-002	5.001012e-001	5.811528e+000
1.405067678707242e-002	4.966136e-001	5.617034e+000
1.408834419778670e-002	4.926255e-001	5.419674e+000
1.412601160850099e-002	4.881367e-001	5.219450e+000
1.416367901921527e-002	4.831474e-001	5.016361e+000
1.420134642992956e-002	4.776574e-001	4.810407e+000
1.423901384064384e-002	4.716669e-001	4.601587e+000
1.427668125135813e-002	4.651758e-001	4.389903e+000
1.433527500135812e-002	4.528373e-001	4.056218e+000
1.436457187635812e-002	4.455779e-001	3.887286e+000
1.439386875135812e-002	4.374070e-001	3.717037e+000
1.442316562635812e-002	4.281502e-001	3.545528e+000
1.445246250135812e-002	4.176048e-001	3.372818e+000
1.448175937635812e-002	4.055489e-001	3.198964e+000
1.451105625135812e-002	3.917655e-001	3.024027e+000
1.454035312635812e-002	3.760847e-001	2.848066e+000
1.456965000135812e-002	3.584383e-001	2.671139e+000
1.459894687635812e-002	3.389017e-001	2.493307e+000
1.462824375135812e-002	3.176946e-001	2.314631e+000
1.465754062635812e-002	2.951314e-001	2.135170e+000
1.468683750135812e-002	2.715473e-001	1.954986e+000
1.471613437635812e-002	2.472384e-001	1.774139e+000
1.474543125135812e-002	2.224338e-001	1.592691e+000
1.477472812635811e-002	1.972962e-001	1.410704e+000
1.480402500135811e-002	1.719348e-001	1.228238e+000
1.483332187635811e-002	1.464212e-001	1.045356e+000
1.486261875135811e-002	1.208024e-001	8.621203e-001
1.489191562635811e-002	9.511009e-002	6.785923e-001
1.492121250135811e-002	6.936646e-002	4.948343e-001
1.497980625135811e-002	1.778877e-002	1.268777e-001
1.500491785850097e-002	-4.347865e-003	-3.099788e-002
1.503002946564382e-002	-2.647032e-002	-1.887676e-001
1.505514107278668e-002	-4.857861e-002	-3.464315e-001
1.508025267992954e-002	-7.067271e-002	-5.039895e-001
1.510536428707239e-002	-9.275264e-002	-6.614418e-001
1.513047589421525e-002	-1.148184e-001	-8.187882e-001
1.515558750135811e-002	-1.368700e-001	-9.760287e-001
1.523929285850096e-002	-2.105433e-001	-1.501371e+000
1.532299821564382e-002	-2.831413e-001	-2.019046e+000
1.540670357278668e-002	-3.546639e-001	-2.529052e+000
1.549040892992953e-002	-4.251112e-001	-3.031390e+000
1.557411428707239e-002	-4.944832e-001	-3.526060e+000
1.565781964421524e-002	-5.627798e-001	-4.013062e+000
1.574152500135810e-002	-6.300011e-001	-4.492395e+000
1.587963884064382e-002	-7.379169e-001	-5.261908e+000
1.601775267992954e-002	-8.385479e-001	-5.979477e+000
1.615586651921526e-002	-9.318942e-001	-6.645099e+000
1.629398035850098e-002	-1.017956e+000	-7.258777e+000
1.643209419778670e-002	-1.096732e+000	-7.820509e+000
1.657020803707242e-002	-1.168224e+000	-8.330295e+000
1.670832187635814e-002	-1.232431e+000	-8.788136e+000
1.698036428707243e-002	-1.327896e+000	-9.468862e+000
1.725240669778673e-002	-1.383967e+000	-9.868690e+000
1.752444910850103e-002	-1.400646e+000	-9.987619e+000
1.779649151921532e-002	-1.377931e+000	-9.825650e+000
1.806853392992962e-002	-1.315824e+000	-9.382782e+000
1.834057634064391e-002	-1.214324e+000	-8.659016e+000
1.861261875135821e-002	-1.073431e+000	-7.654352e+000
1.873399151921536e-002	-1.000313e+000	-7.132976e+000
1.885536428707250e-002	-9.225902e-001	-6.578756e+000
1.897673705492965e-002	-8.402609e-001	-5.991692e+000
1.909810982278680e-002	-7.533256e-001	-5.371783e+000
1.921948259064395e-002	-6.617841e-001	-4.719030e+000
