time	V(a)	V(b)	V(out)
8.917064208206455e-005	4.868006e+000	2.434003e+000	2.434003e+000
9.112376708206455e-005	5.384871e+000	2.692436e+000	2.692436e+000
9.210032958206455e-005	5.657471e+000	2.828736e+000	2.828735e+000
9.307689208206455e-005	5.938162e+000	2.968953e+000	2.943361e+000
9.405345458206455e-005	6.225890e+000	3.112378e+000	2.999041e+000
9.503001708206455e-005	6.519572e+000	3.258540e+000	3.009321e+000
9.698314208206456e-005	7.120372e+000	3.557445e+000	3.009321e+000
9.893626708206456e-005	7.731541e+000	3.861510e+000	3.009321e+000
9.991282958206456e-005	8.038149e+000	4.014051e+000	3.009321e+000
1.008893920820646e-004	8.343904e+000	4.166168e+000	3.009321e+000
1.028425170820646e-004	8.948270e+000	4.466847e+000	3.009321e+000
1.047956420820646e-004	9.535564e+000	4.759034e+000	3.009321e+000
1.067487670820646e-004	1.009697e+001	5.038340e+000	3.009321e+000
1.077253295820646e-004	1.036531e+001	5.171844e+000	3.009321e+000
1.087018920820646e-004	1.062406e+001	5.300575e+000	3.009321e+000
1.096784545820646e-004	1.087224e+001	5.424048e+000	3.009321e+000
1.106550170820646e-004	1.110893e+001	5.541801e+000	3.009321e+000
1.116315795820646e-004	1.133322e+001	5.653392e+000	3.009321e+000
1.126081420820646e-004	1.154429e+001	5.758400e+000	3.009321e+000
1.135847045820646e-004	1.174134e+001	5.856433e+000	3.009321e+000
1.145612670820646e-004	1.192362e+001	5.947123e+000	3.009321e+000
1.155378295820646e-004	1.209046e+001	6.030128e+000	3.009321e+000
1.165143920820646e-004	1.224123e+001	6.105137e+000	3.009321e+000
1.174909545820646e-004	1.237536e+001	6.171869e+000	3.009321e+000
1.184675170820646e-004	1.249236e+001	6.230075e+000	3.009321e+000
1.194440795820646e-004	1.259177e+001	6.279536e+000	3.009321e+000
1.204206420820646e-004	1.267324e+001	6.320067e+000	3.009321e+000
1.213972045820646e-004	1.273645e+001	6.351516e+000	3.009321e+000
1.223737670820646e-004	1.278118e+001	6.373766e+000	3.009321e+000
1.233503295820646e-004	1.280724e+001	6.386734e+000	3.009321e+000
1.243268920820646e-004	1.281456e+001	6.390373e+000	3.009321e+000
1.253034545820646e-004	1.280309e+001	6.384670e+000	3.009321e+000
1.262800170820646e-004	1.277290e+001	6.369647e+000	3.009321e+000
1.272565795820646e-004	1.272408e+001	6.345361e+000	3.009321e+000
1.282331420820646e-004	1.265684e+001	6.311906e+000	3.009321e+000
1.292097045820646e-004	1.257142e+001	6.269408e+000	3.009321e+000
1.301862670820646e-004	1.246814e+001	6.218028e+000	3.009321e+000
1.311628295820646e-004	1.234741e+001	6.157960e+000	3.009321e+000
