time	V(a)	V(b)	V(out)	V(n002)
6.866281249222088e-005	3.101734e+000	1.550868e+000	1.551061e+000	-4.608846e+000
6.963937499222088e-005	3.007042e+000	1.503522e+000	1.503716e+000	-4.719055e+000
7.061593749222089e-005	2.930363e+000	1.465183e+000	1.465376e+000	-4.811502e+000
7.159249999222089e-005	2.871987e+000	1.435994e+000	1.436188e+000	-4.885840e+000
7.256906249222089e-005	2.832135e+000	1.416068e+000	1.416262e+000	-4.941789e+000
7.354562499222089e-005	2.810961e+000	1.405481e+000	1.405675e+000	-4.979138e+000
7.452218749222089e-005	2.808546e+000	1.404274e+000	1.404467e+000	-4.997747e+000
7.549874999222089e-005	2.824902e+000	1.412452e+000	1.412645e+000	-4.997545e+000
7.647531249222089e-005	2.859970e+000	1.429986e+000	1.430179e+000	-4.978534e+000
7.745187499222089e-005	2.913620e+000	1.456811e+000	1.457005e+000	-4.940784e+000
7.842843749222089e-005	2.985653e+000	1.492828e+000	1.493021e+000	-4.884439e+000
7.940499999222089e-005	3.075800e+000	1.537901e+000	1.538094e+000	-4.809710e+000
8.038156249222089e-005	3.183724e+000	1.591863e+000	1.592056e+000	-4.716877e+000
8.135812499222090e-005	3.309021e+000	1.654511e+000	1.654705e+000	-4.606292e+000
8.331124999222090e-005	3.609793e+000	1.804898e+000	1.805091e+000	-4.333591e+000
8.526437499222090e-005	3.973612e+000	1.986807e+000	1.987000e+000	-3.995710e+000
8.721749999222090e-005	4.395024e+000	2.197513e+000	2.197705e+000	-3.597729e+000
8.917062499222090e-005	4.867710e+000	2.433855e+000	2.433856e+000	-3.145635e+000
9.014718749222090e-005	5.121091e+000	2.560533e+000	2.558078e+000	-2.901392e+000
9.112374999222090e-005	5.384576e+000	2.692192e+000	2.673029e+000	-2.646228e+000
9.210031249222090e-005	5.657177e+000	2.828241e+000	2.758727e+000	-2.381105e+000
9.307687499222091e-005	5.937867e+000	2.968143e+000	2.809895e+000	-2.107019e+000
9.405343749222091e-005	6.225594e+000	3.111436e+000	2.839203e+000	-1.825003e+000
9.502999999222091e-005	6.519276e+000	3.257643e+000	2.858507e+000	-1.536119e+000
9.600656249222091e-005	6.817810e+000	3.406238e+000	2.872765e+000	-1.241452e+000
9.795968749222091e-005	7.424934e+000	3.708390e+000	2.893096e+000	-6.392288e-001
9.991281249222091e-005	8.037851e+000	4.013397e+000	2.907583e+000	-2.739063e-002
1.008893749922209e-004	8.343607e+000	4.165543e+000	2.913477e+000	2.792600e-001
1.028424999922209e-004	8.947972e+000	4.466271e+000	2.923373e+000	8.882579e-001
1.047956249922209e-004	9.535266e+000	4.758498e+000	2.931373e+000	1.483895e+000
1.067487499922209e-004	1.009667e+001	5.037837e+000	2.937951e+000	2.057214e+000
1.077253124922209e-004	1.036502e+001	5.171355e+000	2.940803e+000	2.332792e+000
1.087018749922209e-004	1.062377e+001	5.300099e+000	2.943402e+000	2.599590e+000
1.096784374922209e-004	1.087195e+001	5.423585e+000	2.945769e+000	2.856604e+000
1.106549999922209e-004	1.110863e+001	5.541349e+000	2.947922e+000	3.102866e+000
1.116315624922209e-004	1.133293e+001	5.652949e+000	2.949878e+000	3.337449e+000
1.126081249922209e-004	1.154400e+001	5.757967e+000	2.951647e+000	3.559471e+000
1.135846874922209e-004	1.174104e+001	5.856009e+000	2.953242e+000	3.768097e+000
1.145612499922209e-004	1.192333e+001	5.946705e+000	2.954672e+000	3.962539e+000
