time	V(a)	V(b)	V(out)
1.737446570633765e-004	2.863441e+000	1.431732e+000	1.434124e+000
1.747212195633765e-004	2.864683e+000	1.432339e+000	1.431849e+000
1.756977820633765e-004	2.884691e+000	1.442329e+000	1.438963e+000
1.766743445633765e-004	2.923391e+000	1.461664e+000	1.455422e+000
1.776509070633765e-004	2.980638e+000	1.490273e+000	1.481146e+000
1.786274695633765e-004	3.056219e+000	1.528049e+000	1.516024e+000
1.796040320633765e-004	3.149851e+000	1.574851e+000	1.559909e+000
1.805805945633765e-004	3.261184e+000	1.630503e+000	1.612618e+000
1.825337195633765e-004	3.535217e+000	1.767489e+000	1.743607e+000
1.844868445633765e-004	3.874210e+000	1.936954e+000	1.906835e+000
1.864399695633765e-004	4.273077e+000	2.136355e+000	2.099602e+000
1.883930945633765e-004	4.725834e+000	2.362697e+000	2.318623e+000
1.893696570633765e-004	4.970325e+000	2.484921e+000	2.436647e+000
1.903462195633765e-004	5.225683e+000	2.612567e+000	2.557808e+000
1.913227820633765e-004	5.490477e+000	2.744879e+000	2.672918e+000
1.920874687221185e-004	5.704300e+000	2.851604e+000	2.742396e+000
1.929513745999114e-004	5.952233e+000	2.975186e+000	2.789092e+000
1.938107979496127e-004	6.204373e+000	3.100756e+000	2.814652e+000
1.947515316738208e-004	6.485896e+000	3.240906e+000	2.832583e+000
1.957280941738208e-004	6.783051e+000	3.388814e+000	2.846440e+000
1.976812191738208e-004	7.388287e+000	3.690023e+000	2.866045e+000
1.996343441738208e-004	8.000625e+000	3.994739e+000	2.879994e+000
2.006109066738208e-004	8.306584e+000	4.146986e+000	2.885671e+000
2.025640316738208e-004	8.912336e+000	4.448402e+000	2.895210e+000
2.045171566738208e-004	9.502302e+000	4.741956e+000	2.902932e+000
2.064702816738208e-004	1.006762e+001	5.023239e+000	2.909290e+000
2.074468441738208e-004	1.033836e+001	5.157950e+000	2.912052e+000
2.084234066738208e-004	1.059979e+001	5.288029e+000	2.914570e+000
2.093999691738208e-004	1.085093e+001	5.412986e+000	2.916867e+000
2.103765316738208e-004	1.109084e+001	5.532351e+000	2.918959e+000
2.113530941738208e-004	1.131860e+001	5.645677e+000	2.920861e+000
2.123296566738208e-004	1.153337e+001	5.752537e+000	2.922585e+000
2.133062191738208e-004	1.173435e+001	5.852531e+000	2.924143e+000
2.142827816738208e-004	1.192076e+001	5.945283e+000	2.925543e+000
2.152593441738208e-004	1.209192e+001	6.030444e+000	2.926792e+000
2.162359066738208e-004	1.224719e+001	6.107696e+000	2.927896e+000
2.172124691738208e-004	1.238597e+001	6.176746e+000	2.928862e+000
2.181890316738208e-004	1.250775e+001	6.237338e+000	2.929693e+000
2.191655941738208e-004	1.261207e+001	6.289243e+000	2.930394e+000
2.201421566738208e-004	1.269855e+001	6.332267e+000	2.930968e+000
2.211187191738208e-004	1.276685e+001	6.366249e+000	2.931417e+000
2.220952816738208e-004	1.281672e+001	6.391061e+000	2.931742e+000
2.230718441738208e-004	1.284797e+001	6.406611e+000	2.931947e+000
2.240484066738208e-004	1.286049e+001	6.412842e+000	2.932030e+000
2.250249691738208e-004	1.285424e+001	6.409730e+000	2.931993e+000
2.260015316738208e-004	1.282923e+001	6.397287e+000	2.931836e+000
2.269780941738208e-004	1.278557e+001	6.375563e+000	2.931557e+000
2.279546566738208e-004	1.272341e+001	6.344638e+000	2.931157e+000
2.289312191738208e-004	1.264300e+001	6.304630e+000	2.930632e+000
2.299077816738208e-004	1.254464e+001	6.255690e+000	2.929981e+000
2.308843441738208e-004	1.242869e+001	6.198003e+000	2.929201e+000
2.318609066738208e-004	1.229561e+001	6.131788e+000	2.928289e+000
2.328374691738208e-004	1.214589e+001	6.057293e+000	2.927240e+000
2.338140316738208e-004	1.198009e+001	5.974801e+000	2.926049e+000
2.347905941738208e-004	1.179884e+001	5.884621e+000	2.924711e+000
2.357671566738208e-004	1.160283e+001	5.787095e+000	2.923218e+000
2.367437191738208e-004	1.139279e+001	5.682589e+000	2.921563e+000
2.377202816738208e-004	1.116951e+001	5.571498e+000	2.919735e+000
2.386968441738209e-004	1.093385e+001	5.454241e+000	2.917723e+000
2.396734066738209e-004	1.068668e+001	5.331259e+000	2.915514e+000
2.406499691738209e-004	1.042893e+001	5.203016e+000	2.913092e+000
2.426030941738209e-004	9.885646e+000	4.932697e+000	2.907527e+000
2.445562191738209e-004	9.312175e+000	4.647355e+000	2.900823e+000
2.465093441738209e-004	8.717154e+000	4.351284e+000	2.892662e+000
2.484624691738209e-004	8.109545e+000	4.048940e+000	2.882531e+000
2.504155941738209e-004	7.498496e+000	3.744871e+000	2.869518e+000
2.523687191738209e-004	6.893209e+000	3.443645e+000	2.851768e+000
2.533452816738209e-004	6.595582e+000	3.295513e+000	2.839896e+000
2.543218441738209e-004	6.302799e+000	3.149773e+000	2.824550e+000
2.552984066738209e-004	6.015964e+000	3.006963e+000	2.803213e+000
2.562749691738209e-004	5.736156e+000	2.867593e+000	2.770524e+000
2.572515316738209e-004	5.464432e+000	2.732139e+000	2.716688e+000
2.582280941738209e-004	5.201814e+000	2.601066e+000	2.632952e+000
2.592046566738209e-004	4.948225e+000	2.474358e+000	2.523462e+000
2.598108156660279e-004	4.796258e+000	2.398378e+000	2.448158e+000
2.612484701055191e-004	4.457161e+000	2.228800e+000	2.272600e+000
2.632015951055191e-004	4.040415e+000	2.020388e+000	2.056400e+000
2.651547201055191e-004	3.681044e+000	1.840667e+000	1.869748e+000
2.671078451055191e-004	3.384929e+000	1.692578e+000	1.715230e+000
2.680844076055191e-004	3.262027e+000	1.631111e+000	1.650670e+000
2.690609701055191e-004	3.156534e+000	1.578350e+000	1.594873e+000
2.700375326055191e-004	3.068850e+000	1.534492e+000	1.548025e+000
2.710140951055191e-004	2.999305e+000	1.499705e+000	1.510281e+000
2.719906576055191e-004	2.948163e+000	1.474120e+000	1.481765e+000
2.729672201055191e-004	2.915617e+000	1.457832e+000	1.462566e+000
2.739437826055191e-004	2.901792e+000	1.450905e+000	1.452738e+000
2.749203451055191e-004	2.906740e+000	1.453365e+000	1.452305e+000
2.758969076055191e-004	2.930445e+000	1.465203e+000	1.461257e+000
2.768734701055192e-004	2.972818e+000	1.486375e+000	1.479540e+000
2.778500326055192e-004	3.033701e+000	1.516802e+000	1.507068e+000
2.788265951055192e-004	3.112866e+000	1.556370e+000	1.543723e+000
2.798031576055192e-004	3.210017e+000	1.604931e+000	1.589350e+000
2.807797201055192e-004	3.324789e+000	1.662302e+000	1.643760e+000
2.827328451055192e-004	3.605409e+000	1.802581e+000	1.777991e+000
2.846859701055192e-004	3.950515e+000	1.975103e+000	1.944206e+000
2.866390951055192e-004	4.354927e+000	2.177275e+000	2.139638e+000
2.885922201055192e-004	4.812572e+000	2.406060e+000	2.360916e+000
2.895687826055192e-004	5.059237e+000	2.529370e+000	2.479671e+000
2.905453451055192e-004	5.316577e+000	2.657994e+000	2.599156e+000
2.915219076055192e-004	5.583096e+000	2.791124e+000	2.706343e+000
2.922550950727300e-004	5.789144e+000	2.893918e+000	2.763072e+000
2.930690089835933e-004	6.023541e+000	3.010709e+000	2.798373e+000
2.938794573756924e-004	6.261736e+000	3.129318e+000	2.819153e+000
2.947459434538714e-004	6.521182e+000	3.258472e+000	2.834675e+000
2.957225059538714e-004	6.818300e+000	3.406358e+000	2.847905e+000
2.976756309538714e-004	7.423272e+000	3.707433e+000	2.866958e+000
2.996287559538714e-004	8.035374e+000	4.012031e+000	2.880674e+000
3.015818809538714e-004	8.645411e+000	4.315584e+000	2.891245e+000
3.035350059538714e-004	9.244215e+000	4.613538e+000	2.899710e+000
3.054881309538714e-004	9.822788e+000	4.901421e+000	2.906642e+000
3.074412559538714e-004	1.037244e+001	5.174907e+000	2.912387e+000
3.084178184538714e-004	1.063382e+001	5.304958e+000	2.914887e+000
3.093943809538714e-004	1.088491e+001	5.429890e+000	2.917168e+000
3.103709434538714e-004	1.112477e+001	5.549234e+000	2.919246e+000
3.113475059538714e-004	1.135250e+001	5.662540e+000	2.921137e+000
3.123240684538714e-004	1.156723e+001	5.769385e+000	2.922851e+000
3.133006309538714e-004	1.176818e+001	5.869365e+000	2.924400e+000
3.142771934538714e-004	1.195457e+001	5.962105e+000	2.925791e+000
3.152537559538714e-004	1.212572e+001	6.047256e+000	2.927033e+000
3.162303184538714e-004	1.228096e+001	6.124499e+000	2.928132e+000
3.172068809538714e-004	1.241973e+001	6.193544e+000	2.929093e+000
3.181834434538714e-004	1.254151e+001	6.254131e+000	2.929920e+000
3.191600059538714e-004	1.264582e+001	6.306034e+000	2.930617e+000
3.201365684538714e-004	1.273229e+001	6.349056e+000	2.931188e+000
3.211131309538714e-004	1.280059e+001	6.383037e+000	2.931635e+000
3.220896934538714e-004	1.285046e+001	6.407849e+000	2.931959e+000
3.230662559538714e-004	1.288171e+001	6.423399e+000	2.932162e+000
3.240428184538714e-004	1.289424e+001	6.429631e+000	2.932245e+000
3.250193809538714e-004	1.288798e+001	6.426520e+000	2.932209e+000
3.259959434538714e-004	1.286298e+001	6.414079e+000	2.932052e+000
3.269725059538714e-004	1.281932e+001	6.392355e+000	2.931775e+000
3.279490684538714e-004	1.275716e+001	6.361430e+000	2.931376e+000
3.289256309538714e-004	1.267675e+001	6.321423e+000	2.930854e+000
3.299021934538714e-004	1.257839e+001	6.272482e+000	2.930206e+000
3.308787559538714e-004	1.246244e+001	6.214794e+000	2.929430e+000
3.318553184538714e-004	1.232935e+001	6.148575e+000	2.928523e+000
3.328318809538714e-004	1.217962e+001	6.074076e+000	2.927479e+000
3.338084434538714e-004	1.201381e+001	5.991577e+000	2.926294e+000
3.347850059538714e-004	1.183254e+001	5.901390e+000	2.924963e+000
3.357615684538714e-004	1.163651e+001	5.803854e+000	2.923479e+000
3.367381309538714e-004	1.142645e+001	5.699337e+000	2.921833e+000
3.377146934538714e-004	1.120315e+001	5.588232e+000	2.920015e+000
3.386912559538714e-004	1.096745e+001	5.470959e+000	2.918016e+000
3.396678184538714e-004	1.072024e+001	5.347959e+000	2.915821e+000
3.406443809538714e-004	1.046245e+001	5.219694e+000	2.913414e+000
3.425975059538714e-004	9.919065e+000	4.949326e+000	2.907890e+000
3.445506309538714e-004	9.345470e+000	4.663922e+000	2.901239e+000
3.465037559538714e-004	8.750302e+000	4.367778e+000	2.893156e+000
3.484568809538714e-004	8.142520e+000	4.065349e+000	2.883140e+000
3.504100059538714e-004	7.531273e+000	3.761182e+000	2.870314e+000
3.523631309538714e-004	6.925764e+000	3.459847e+000	2.852908e+000
3.533396934538714e-004	6.628016e+000	3.311656e+000	2.841338e+000
3.543162559538714e-004	6.335107e+000	3.165857e+000	2.826539e+000
3.552928184538714e-004	6.048139e+000	3.022985e+000	2.806190e+000
3.562693809538714e-004	5.768193e+000	2.883555e+000	2.775271e+000
3.572459434538714e-004	5.496325e+000	2.748045e+000	2.724574e+000
3.582225059538714e-004	5.233557e+000	2.616918e+000	2.644824e+000
3.591990684538714e-004	4.979825e+000	2.490154e+000	2.538430e+000
3.598089403054774e-004	4.826861e+000	2.413680e+000	2.463503e+000
3.611582612932576e-004	4.507397e+000	2.253920e+000	2.298351e+000
3.631113862932576e-004	4.088256e+000	2.044311e+000	2.080841e+000
3.650645112932576e-004	3.725902e+000	1.863099e+000	1.892617e+000
3.670176362932576e-004	3.426575e+000	1.713403e+000	1.736440e+000
3.679941987932576e-004	3.301995e+000	1.651097e+000	1.671022e+000
3.689707612932576e-004	3.194786e+000	1.597477e+000	1.614349e+000
3.699473237932576e-004	3.105350e+000	1.552745e+000	1.566611e+000
3.709238862932576e-004	3.034027e+000	1.517068e+000	1.527965e+000
3.719004487932576e-004	2.981086e+000	1.490583e+000	1.498537e+000
3.728770112932576e-004	2.946726e+000	1.473388e+000	1.478420e+000
3.738535737932577e-004	2.931078e+000	1.465550e+000	1.467671e+000
3.748301362932577e-004	2.934202e+000	1.467097e+000	1.466318e+000
3.758066987932577e-004	2.956088e+000	1.478025e+000	1.474351e+000
3.767832612932577e-004	2.996652e+000	1.498293e+000	1.491723e+000
3.777598237932577e-004	3.055745e+000	1.527825e+000	1.518348e+000
3.787363862932577e-004	3.133145e+000	1.566510e+000	1.554113e+000
3.797129487932577e-004	3.228560e+000	1.614203e+000	1.598866e+000
3.806895112932577e-004	3.341633e+000	1.670725e+000	1.652419e+000
3.826426362932577e-004	3.618990e+000	1.809373e+000	1.785006e+000
3.845957612932577e-004	3.961051e+000	1.980372e+000	1.949685e+000
3.865488862932577e-004	4.362679e+000	2.181152e+000	2.143712e+000
3.885020112932577e-004	4.817839e+000	2.408695e+000	2.363732e+000
3.894785737932577e-004	5.063385e+000	2.531445e+000	2.481907e+000
3.904551362932577e-004	5.319693e+000	2.659553e+000	2.600772e+000
3.914316987932577e-004	5.585272e+000	2.792211e+000	2.707203e+000
3.921676865141843e-004	5.791469e+000	2.895077e+000	2.763613e+000
3.929826695866598e-004	6.025548e+000	3.011708e+000	2.798606e+000
3.937979499334824e-004	6.264617e+000	3.130752e+000	2.819352e+000
3.946674073749305e-004	6.524457e+000	3.260102e+000	2.834846e+000
3.956439698749305e-004	6.821114e+000	3.407758e+000	2.848016e+000
3.975970948749305e-004	7.425440e+000	3.708513e+000	2.867015e+000
3.995502198749305e-004	8.037268e+000	4.012972e+000	2.880711e+000
4.015033448749305e-004	8.647399e+000	4.316573e+000	2.891275e+000
4.034564698749305e-004	9.246665e+000	4.614758e+000	2.899742e+000
4.054095948749305e-004	9.826059e+000	4.903048e+000	2.906678e+000
4.073627198749305e-004	1.037687e+001	5.177114e+000	2.912430e+000
4.083392823749305e-004	1.063896e+001	5.307515e+000	2.914935e+000
4.093158448749305e-004	1.089083e+001	5.432837e+000	2.917220e+000
4.102924073749305e-004	1.113155e+001	5.552607e+000	2.919303e+000
