3.20000000000000e+001	 -2.16965610729430e+001      0.0
4.02856131774134e+001	 -2.16964247271517e+001      0.0
5.07165821587556e+001	 -2.16962088338017e+001      0.0
6.38483940790042e+001	 -2.16958671673931e+001      0.0
8.03803658083066e+001	 -2.16953269171510e+001      0.0
1.01192885125388e+002	 -2.16944738090168e+001      0.0
1.27394294577119e+002	 -2.16931295075802e+001      0.0
1.60379914760727e+002	 -2.16910181713385e+001      0.0
2.01906350233662e+002	 -2.16877190371794e+001      0.0
2.54185035111770e+002	 -2.16826039674378e+001      0.0
3.20000000000000e+002	 -2.16747655772523e+001      0.0
4.02856131774134e+002	 -2.16629555421912e+001      0.0
5.07165821587557e+002	 -2.16455704576636e+001      0.0
6.38483940790042e+002	 -2.16207187241118e+001      0.0
8.03803658083066e+002	 -2.15863173053256e+001      0.0
1.01192885125388e+003	 -2.15399649761651e+001      0.0
1.27394294577119e+003	 -2.14781643063103e+001      0.0
1.60379914760727e+003	 -2.13946356568112e+001      0.0
2.01906350233662e+003	 -2.12779526462963e+001      0.0
2.54185035111770e+003	 -2.11089276657473e+001      0.0
3.20000000000000e+003	 -2.08578842985596e+001      0.0
4.02856131774134e+003	 -2.04818821450868e+001      0.0
5.07165821587557e+003	 -1.99227233823973e+001      0.0
6.38483940790042e+003	 -1.91079702289332e+001      0.0
8.03803658083067e+003	 -1.79582030014035e+001      0.0
1.01192885125388e+004	 -1.64023614229236e+001      0.0
1.27394294577119e+004	 -1.43976767679674e+001      0.0
1.60379914760727e+004	 -1.19443222024610e+001      0.0
2.01906350233662e+004	 -9.08524131136400e+000      0.0
2.54185035111771e+004	 -5.89125004598173e+000      0.0
3.20000000000001e+004	 -2.44104463720439e+000      0.0
4.02856131774134e+004	1.19406921296376e+000      0.0
5.07165821587557e+004	4.95731075526074e+000      0.0
6.38483940790043e+004	8.80726926622692e+000      0.0
8.03803658083067e+004	1.27156744340337e+001      0.0
1.01192885125388e+005	1.66644346807684e+001      0.0
1.27394294577119e+005	2.06430951991834e+001      0.0
1.60379914760727e+005	2.46470914511868e+001      0.0
2.01906350233662e+005	2.86768033895734e+001      0.0
2.54185035111771e+005	3.27372450901603e+001      0.0
3.20000000000001e+005	3.68380573426362e+001      0.0
4.02856131774135e+005	4.09931464801405e+001      0.0
5.07165821587558e+005	4.52187511914997e+001      0.0
6.38483940790043e+005	4.95281306687618e+001      0.0
8.03803658083068e+005	5.39212875814294e+001      0.0
1.01192885125388e+006	5.83703929974843e+001      0.0
1.27394294577120e+006	6.28056103014165e+001      0.0
1.60379914760728e+006	6.71081419315307e+001      0.0
2.00000000000000e+006	7.09567925744466e+001      0.0
