Freq.	V(b)	V(n003)
1.00000000000000e+002	0.00000000000000e+000   -4.10273687521375e+001
1.25892541179417e+002	0.00000000000000e+000   -3.90278616397053e+001
1.58489319246111e+002	0.00000000000000e+000   -3.70286427553684e+001
1.99526231496888e+002	0.00000000000000e+000   -3.50298805933807e+001
2.51188643150958e+002	0.00000000000000e+000   -3.30318420655788e+001
3.16227766016838e+002	0.00000000000000e+000   -3.10349498634933e+001
3.98107170553497e+002	0.00000000000000e+000   -2.90398730670524e+001
5.01187233627272e+002	0.00000000000000e+000   -2.70476699881120e+001
6.30957344480193e+002	0.00000000000000e+000   -2.50600126583475e+001
7.94328234724282e+002	0.00000000000000e+000   -2.30795378726179e+001
1.00000000000000e+003	0.00000000000000e+000   -2.11103917768348e+001
1.25892541179417e+003	0.00000000000000e+000   -1.91590639555812e+001
1.58489319246111e+003	0.00000000000000e+000   -1.72356386343751e+001
1.99526231496888e+003	0.00000000000000e+000   -1.53556083216114e+001
2.51188643150958e+003	0.00000000000000e+000   -1.35423537912189e+001
3.16227766016838e+003	0.00000000000000e+000   -1.18301955304653e+001
3.98107170553498e+003	0.00000000000000e+000   -1.02674027078392e+001
5.01187233627273e+003	0.00000000000000e+000   -8.91756527884440e+000
6.30957344480194e+003	0.00000000000000e+000   -7.85652949562817e+000
7.94328234724282e+003	0.00000000000000e+000   -7.16190451923771e+000
1.00000000000000e+004	0.00000000000000e+000   -6.89510464651511e+000
1.25892541179417e+004	0.00000000000000e+000   -7.08227172784350e+000
1.58489319246111e+004	0.00000000000000e+000   -7.70490825805001e+000
1.99526231496888e+004	0.00000000000000e+000   -8.70657991717580e+000
2.51188643150958e+004	0.00000000000000e+000   -1.00110763452669e+001
3.16227766016838e+004	0.00000000000000e+000   -1.15412290925773e+001
3.98107170553498e+004	0.00000000000000e+000   -1.32308719694215e+001
5.01187233627273e+004	0.00000000000000e+000   -1.50290315588699e+001
6.30957344480194e+004	0.00000000000000e+000   -1.68991040262866e+001
7.94328234724283e+004	0.00000000000000e+000   -1.88159810043000e+001
1.00000000000000e+005	0.00000000000000e+000   -2.07629337160115e+001
1.25892541179417e+005	0.00000000000000e+000   -2.27290065738817e+001
1.58489319246112e+005	0.00000000000000e+000   -2.47070763324804e+001
1.99526231496888e+005	0.00000000000000e+000   -2.66924896846062e+001
2.51188643150958e+005	0.00000000000000e+000   -2.86821302171191e+001
3.16227766016838e+005	0.00000000000000e+000   -3.06737745207814e+001
3.98107170553498e+005	0.00000000000000e+000   -3.26656237019325e+001
5.01187233627273e+005	0.00000000000000e+000   -3.46559193375229e+001
6.30957344480194e+005	0.00000000000000e+000   -3.66425648010731e+001
7.94328234724283e+005	0.00000000000000e+000   -3.86226710969122e+001
1.00000000000000e+006	0.00000000000000e+000   -4.05919280582077e+001
