#freq	Vin[V]  FSVin[V] Vout[V] FSVout[V]
32  	4.08	1   	0.0128	0.020
100	    4.08	1   	0.0344	0.020
316	    1.02	0.200	0.0368	0.020
1000	1.02	0.200	0.104	0.050
3162	1.03	0.200	0.290	0.050
10000	1.03	0.200	0.472	0.100
31623	1.03	0.200	0.272	0.050
100000	1.02	0.200	0.0944	0.020
316228	1.03	0.200	0.0324	0.020
1000000	4.12	1   	0.0368	0.020
