#v1	V(vd)	Vvd
#simulazione con valori ricavati da analisi circuito 1 con generatore in dc da 0 a 10 Volt
#si trova la v_on con doppio fit
2.07	0.2898099	289.8099
2.08	0.2911236	291.1236
2.09	0.2924346	292.4346
2.1	0.2937428	293.7428
2.11	0.2950482	295.0482
2.12	0.2963507	296.3507
2.13	0.2976502	297.6502
2.14	0.2989467	298.9467
2.15	0.3002401	300.2401
2.16	0.3015304	301.5304
2.17	0.3028174	302.8174
2.18	0.3041012	304.1012
2.19	0.3053817	305.3817
2.2	0.3066587	306.6587
2.21	0.3079323	307.9323
2.22	0.3092023	309.2023
2.23	0.3104688	310.4688
2.24	0.3117316	311.7316
2.25	0.3129906	312.9906
2.26	0.3142458	314.2458
2.27	0.3154972	315.4972
2.27999999999999	0.3167447	316.7447
2.29	0.3179881	317.9881
2.29999999999999	0.3192275	319.2275
2.31	0.3204628	320.4628
2.31999999999999	0.3216938	321.6938
2.32999999999999	0.3229206	322.9206
2.33999999999999	0.324143	324.143
2.34999999999999	0.325361	325.361
2.35999999999999	0.3265746	326.5746
2.36999999999999	0.3277836	327.7836
2.37999999999999	0.328988	328.988
2.38999999999999	0.3301878	330.1878
2.39999999999999	0.3313828	331.3828
2.40999999999999	0.3325731	332.5731
2.41999999999999	0.3337585	333.7585
2.42999999999999	0.3349389	334.9389
2.43999999999999	0.3361144	336.1144
2.44999999999999	0.3372849	337.2849
2.45999999999999	0.3384502	338.4502
2.46999999999999	0.3396104	339.6104
2.47999999999999	0.3407654	340.7654
2.48999999999999	0.341915	341.915
2.49999999999999	0.3430594	343.0594
2.50999999999999	0.3441984	344.1984
2.51999999999999	0.3453319	345.3319
2.52999999999999	0.3464599	346.4599
2.53999999999999	0.3475824	347.5824
2.54999999999999	0.3486993	348.6993
2.55999999999999	0.3498106	349.8106
2.56999999999999	0.3509161	350.9161
2.57999999999999	0.352016	352.016
2.58999999999999	0.35311	353.11
2.59999999999999	0.3541983	354.1983
2.60999999999999	0.3552807	355.2807
2.61999999999999	0.3563571	356.3571
2.62999999999999	0.3574277	357.4277
2.63999999999999	0.3584922	358.4922
2.64999999999999	0.3595508	359.5508
2.65999999999999	0.3606033	360.6033
2.66999999999999	0.3616497	361.6497
2.67999999999999	0.3626901	362.6901
2.68999999999999	0.3637243	363.7243
2.69999999999999	0.3647524	364.7524
2.70999999999999	0.3657742	365.7742
2.71999999999999	0.3667899	366.7899
2.72999999999999	0.3677994	367.7994
2.73999999999999	0.3688026	368.8026
2.74999999999998	0.3697996	369.7996
2.75999999999999	0.3707903	370.7903
2.76999999999998	0.3717748	371.7748
2.77999999999999	0.3727529	372.7529
2.78999999999998	0.3737247	373.7247
2.79999999999998	0.3746903	374.6903
2.80999999999998	0.3756495	375.6495
2.81999999999998	0.3766024	376.6024
2.82999999999998	0.377549	377.549
2.83999999999998	0.3784893	378.4893
2.84999999999998	0.3794232	379.4232
2.85999999999998	0.3803509	380.3509
2.86999999999998	0.3812722	381.2722
2.87999999999998	0.3821872	382.1872
2.88999999999998	0.3830959	383.0959
2.89999999999998	0.3839984	383.9984
2.90999999999998	0.3848945	384.8945
2.91999999999998	0.3857844	385.7844
2.92999999999998	0.3866681	386.6681
2.93999999999998	0.3875455	387.5455
2.94999999999998	0.3884167	388.4167
2.95999999999998	0.3892817	389.2817
2.96999999999998	0.3901405	390.1405
2.97999999999998	0.3909931	390.9931
2.98999999999998	0.3918397	391.8397
2.99999999999998	0.3926801	392.6801
3.00999999999998	0.3935144	393.5144
3.01999999999998	0.3943426	394.3426
3.02999999999998	0.3951648	395.1648
3.03999999999998	0.395981	395.981
3.04999999999998	0.3967912	396.7912
3.05999999999998	0.3975955	397.5955
3.06999999999998	0.3983938	398.3938
3.07999999999998	0.3991863	399.1863
3.08999999999998	0.3999729	399.9729
3.09999999999998	0.4007536	400.7536
3.10999999999998	0.4015286	401.5286
3.11999999999998	0.4022977	402.2977
3.12999999999998	0.4030612	403.0612
3.13999999999998	0.403819	403.819
3.14999999999998	0.4045711	404.5711
3.15999999999998	0.4053176	405.3176
3.16999999999998	0.4060585	406.0585
3.17999999999998	0.4067939	406.7939
3.18999999999998	0.4075238	407.5238
3.19999999999998	0.4082482	408.2482
3.20999999999998	0.4089672	408.9672
3.21999999999997	0.4096808	409.6808
3.22999999999997	0.4103891	410.3891
3.23999999999997	0.411092	411.092
3.24999999999998	0.4117897	411.7897
3.25999999999997	0.4124821	412.4821
3.26999999999997	0.4131694	413.1694
3.27999999999997	0.4138515	413.8515
3.28999999999997	0.4145286	414.5286
3.29999999999997	0.4152005	415.2005
3.30999999999997	0.4158675	415.8675
3.31999999999997	0.4165294	416.5294
3.32999999999997	0.4171865	417.1865
3.33999999999997	0.4178386	417.8386
3.34999999999997	0.4184859	418.4859
3.35999999999997	0.4191284	419.1284
3.36999999999997	0.419766	419.766
3.37999999999997	0.420399	420.399
3.38999999999997	0.4210273	421.0273
3.39999999999997	0.421651	421.651
3.40999999999997	0.42227	422.27
3.41999999999997	0.4228845	422.8845
3.42999999999997	0.4234945	423.4945
3.43999999999997	0.4241	424.1
3.44999999999997	0.424701	424.701
3.45999999999997	0.4252976	425.2976
3.46999999999997	0.4258899	425.8899
3.47999999999997	0.4264779	426.4779
3.48999999999997	0.4270616	427.0616
3.49999999999997	0.4276411	427.6411
3.50999999999997	0.4282164	428.2164
3.51999999999997	0.4287875	428.7875
3.52999999999997	0.4293545	429.3545
3.53999999999997	0.4299175	429.9175
3.54999999999997	0.4304764	430.4764
3.55999999999997	0.4310313	431.0313
3.56999999999997	0.4315823	431.5823
3.57999999999997	0.4321293	432.1293
3.58999999999997	0.4326725	432.6725
3.59999999999997	0.4332118	433.2118
3.60999999999997	0.4337473	433.7473
3.61999999999997	0.4342791	434.2791
